"","Date","Rot Home Team","Rot Away Team","Back2Back Home","HomeTeam","AwayTeam","1st Home Team Goals","1st Away Team Goals","2nd Home Team Goals","2nd Away Team Goals","3rd Home Team Goals","3rd Away Team Goals","FinalHome","FinalAway","Open Home Team","Open Away Team","CloseHomeTeam","CloseAwayTeam","Puck Line Home Team","Puck Line Away Team","...12","...33","Open OU","...14","...35","Close OU","...16","...37","DeadlineInd","Year","Game ID","DeadlineDays","Back2Back Away","BoundaryProbHome","BoundaryProbAway","BoundaryProbHome2","BoundaryProbAway2","Back2BackHome","Back2BackAway","ID"
"1144",2022-04-09,10,9,1,"Detroit","Columbus",0,1,2,1,2,2,4,5,-110,-110,-125,115,-1.5,1.5,"195","-220",6.5,-115,-105,6.5,110,-130,1,1,1144,19,1,0.555555555555556,0.465116279069767,0.544303797468354,0.455696202531646,0,0,1144
"1145",2022-04-09,12,11,1,"NYRangers","Ottawa",1,1,3,0,1,0,5,1,-265,215,-250,220,-1.5,1.5,"110","-130",6,-110,-110,6,-120,100,1,1,1145,19,1,0.714285714285714,0.3125,0.695652173913043,0.304347826086956,0,0,1145
"1146",2022-04-09,14,13,1,"Seattle","Calgary",1,2,0,1,0,1,1,4,170,-200,200,-220,1.5,-1.5,"-140","120",6,-105,-115,6,-125,105,1,1,1146,19,1,0.333333333333333,0.6875,0.326530612244898,0.673469387755102,0,0,1146
"1147",2022-04-09,16,15,1,"Philadelphia","Anaheim",2,0,0,3,1,2,3,5,-110,-110,-110,100,-1.5,1.5,"210","-240",6.5,-105,-115,6.5,-125,105,1,1,1147,19,1,0.523809523809524,0.5,0.511627906976744,0.488372093023256,0,0,1147
"1148",2022-04-09,18,17,0,"St.Louis","NYIslanders",2,0,4,1,0,0,6,1,-165,140,-115,105,-1.5,1.5,"195","-220",5.5,-110,-110,5.5,-110,-110,1,1,1148,19,0,0.534883720930233,0.48780487804878,0.523017193566278,0.476982806433722,1,1,1148
"1149",2022-04-09,20,19,1,"Vegas","Arizona",2,1,1,0,3,0,6,1,-360,290,-420,350,-1.5,1.5,"-155","135",6,-105,-115,6,-110,-110,1,1,1149,19,1,0.807692307692308,0.222222222222222,0.784232365145228,0.215767634854772,0,0,1149
"1150",2022-04-09,22,21,1,"Edmonton","Colorado",0,0,0,0,1,1,1,2,120,-140,-105,-105,1.5,-1.5,"-240","210",6.5,-110,-110,6.5,-105,-115,1,1,1150,19,0,0.51219512195122,0.51219512195122,0.5,0.5,0,1,1150
"1151",2022-04-09,24,23,1,"Vancouver","SanJose",1,1,1,1,2,0,4,2,-140,120,-140,130,-1.5,1.5,"170","-190",5.5,-105,-115,5.5,100,-120,1,1,1151,19,1,0.583333333333333,0.434782608695652,0.572953736654804,0.427046263345196,0,0,1151
"1152",2022-04-10,26,25,0,"Washington","Boston",0,0,2,2,2,0,4,2,-110,-110,114,-124,1.5,-1.5,"-250","220",6,-115,-105,6,-105,-115,1,1,1152,20,1,0.467289719626168,0.553571428571429,0.457740722576426,0.542259277423574,1,0,1152
"1153",2022-04-10,28,27,0,"Pittsburgh","Nashville",1,1,0,0,1,1,3,2,-185,155,-176,158,-1.5,1.5,"140","-160",6,-105,-115,6.5,-115,-105,1,1,1153,20,0,0.63768115942029,0.387596899224806,0.621959237343853,0.378040762656147,1,1,1153
"1154",2022-04-10,30,29,1,"TampaBay","Buffalo",2,0,2,0,1,0,5,0,-400,310,-360,310,-1.5,1.5,"-130","110",6,110,-130,6.5,-105,-115,1,1,1154,20,1,0.782608695652174,0.24390243902439,0.762396694214876,0.237603305785124,0,0,1154
"1155",2022-04-10,32,31,1,"Minnesota","LosAngeles",2,3,3,0,1,0,6,3,-170,145,-180,160,-1.5,1.5,"145","-165",5.5,-105,-115,6,-120,100,1,1,1155,20,1,0.642857142857143,0.384615384615385,0.625668449197861,0.374331550802139,0,0,1155
"1156",2022-04-10,34,33,1,"Carolina","Anaheim",3,2,0,0,2,0,5,2,-410,315,-400,330,-1.5,1.5,"-140","120",5.5,100,-120,5.5,115,-135,1,1,1156,20,0,0.8,0.232558139534884,0.774774774774775,0.225225225225225,0,1,1156
"1157",2022-04-10,36,35,1,"Chicago","Dallas",2,2,1,3,1,1,4,6,135,-160,140,-155,1.5,-1.5,"-180","160",5.5,-110,-110,5.5,100,-120,1,1,1157,20,0,0.416666666666667,0.607843137254902,0.406698564593302,0.593301435406699,0,1,1157
"1158",2022-04-10,38,37,0,"Ottawa","Winnipeg",1,1,0,2,2,1,3,4,155,-185,155,-170,1.5,-1.5,"-160","140",6,-120,100,6,105,-125,1,1,1158,20,1,0.392156862745098,0.62962962962963,0.383795309168443,0.616204690831556,1,0,1158
